"","date","temp"
"1","2011-1-1",7
"2","2011-1-2",5
"3","2011-1-3",3
"4","2011-1-4",3
"5","2011-1-5",2
"6","2011-1-6",5
"7","2011-1-7",8
"8","2011-1-8",11
"9","2011-1-9",6
"10","2011-1-10",4
"11","2011-1-11",6
"12","2011-1-12",8
"13","2011-1-13",11
"14","2011-1-14",11
"15","2011-1-15",10
"16","2011-1-16",12
"17","2011-1-17",9
"18","2011-1-18",7
"19","2011-1-19",7
"20","2011-1-20",5
"21","2011-1-21",4
"22","2011-1-22",6
"23","2011-1-23",7
"24","2011-1-24",7
"25","2011-1-25",6
"26","2011-1-26",4
"27","2011-1-27",2
"28","2011-1-28",1
"29","2011-1-29",1
"30","2011-1-30",2
"31","2011-1-31",1
"32","2011-2-1",5
"33","2011-2-2",5
"34","2011-2-3",8
"35","2011-2-4",10
"36","2011-2-5",11
"37","2011-2-6",11
"38","2011-2-7",10
"39","2011-2-8",8
"40","2011-2-9",7
"41","2011-2-10",10
"42","2011-2-11",8
